CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
1,Male,19,15,39,1,1
2,Male,21,15,81,1,4
3,Female,20,16,6,1,1
4,Female,23,16,77,1,4
5,Female,31,17,40,1,1
6,Female,22,17,76,1,4
7,Female,35,18,6,1,1
8,Female,23,18,94,1,4
9,Male,64,19,3,1,1
10,Female,30,19,72,1,4
11,Male,67,19,14,1,1
12,Female,35,19,99,1,4
13,Female,58,20,15,1,1
14,Female,24,20,77,1,4
15,Male,37,20,13,1,1
16,Male,22,20,79,1,4
17,Female,35,21,35,1,1
18,Male,20,21,66,1,4
19,Male,52,23,29,1,1
20,Female,35,23,98,1,4
21,Male,35,24,35,1,1
22,Male,25,24,73,1,4
23,Female,46,25,5,1,1
24,Male,31,25,73,1,4
25,Female,54,28,14,1,1
26,Male,29,28,82,1,4
27,Female,45,28,32,1,1
28,Male,35,28,61,1,4
29,Female,40,29,31,1,1
30,Female,23,29,87,1,4
31,Male,60,30,4,1,1
32,Female,21,30,73,1,4
33,Male,53,33,4,1,1
34,Male,18,33,92,1,4
35,Female,49,33,14,1,1
36,Female,21,33,81,1,4
37,Female,42,34,17,1,1
38,Female,30,34,73,1,4
39,Female,36,37,26,1,1
40,Female,20,37,75,1,4
41,Female,65,38,35,1,1
42,Male,24,38,92,1,4
43,Male,48,39,36,1,1
44,Female,31,39,61,1,1
45,Female,49,39,28,1,1
46,Female,24,39,65,1,4
47,Female,50,40,55,1,1
48,Female,27,40,47,1,1
49,Female,29,40,42,1,1
50,Female,31,40,42,1,1
51,Female,49,42,52,1,1
52,Male,33,42,60,1,1
53,Female,31,43,54,1,1
54,Male,59,43,60,1,1
55,Female,50,43,45,1,1
56,Male,47,43,41,1,1
57,Female,51,44,50,1,1
58,Male,69,44,46,1,1
59,Female,27,46,51,1,1
60,Male,53,46,46,1,1
61,Male,70,46,56,1,1
62,Male,19,46,55,1,1
63,Female,67,47,52,0,1
64,Female,54,47,59,0,1
65,Male,63,48,51,0,1
66,Male,18,48,59,0,1
67,Female,43,48,50,0,1
68,Female,68,48,48,0,1
69,Male,19,48,59,0,1
70,Female,32,48,47,0,1
71,Male,70,49,55,0,1
72,Female,47,49,42,0,1
73,Female,60,50,49,0,1
